Category,Level1,Level3,Level2,Level4,Year,Total
2. ЗАТРАТЫ,1. Государственные услуги общего характера,"1. Представительные, исполнительные и другие органы, выполняющие общие функции государственного управления",694. Управление делами Президента Республики Казахстан,17. Капитальные расходы Управления делами Президента Республики Казахстан,2012,695,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,"1. Представительные, исполнительные и другие органы, выполняющие общие функции государственного управления",694. Управление делами Президента Республики Казахстан,"20. Пополнение и содержание фонда Первого Президента Республики Казахстан, хранение личной библиотеки и личного архива Первого Президента Республики Казахстан – Лидера Нации",2012,284,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,"1. Представительные, исполнительные и другие органы, выполняющие общие функции государственного управления",694. Управление делами Президента Республики Казахстан,"23. Создание и развитие информационных систем Администрации Президента, Канцелярии Премьер-Министра, Управления делами Президента Республики Казахстан",2012,141,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,"1. Представительные, исполнительные и другие органы, выполняющие общие функции государственного управления",694. Управление делами Президента Республики Казахстан,24. Капитальные расходы подведомственных организаций Управления делами Президента Республики Казахстан,2012,837,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,"1. Представительные, исполнительные и другие органы, выполняющие общие функции государственного управления",694. Управление делами Президента Республики Казахстан,109. Проведение мероприятий за счет резерва Правительства Республики Казахстан на неотложные затраты,2012,5877,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,2. Финансовая деятельность,217. Министерство финансов Республики Казахстан,1. Услуги по обеспечению исполнения и контроля за исполнением государственного бюджета,2012,51074,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,2. Финансовая деятельность,217. Министерство финансов Республики Казахстан,"2. Осуществление аудита инвестиционных проектов, финансируемых международными финансовыми организациями",2012,22,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,2. Финансовая деятельность,217. Министерство финансов Республики Казахстан,3. Проведение процедур ликвидации и банкротства,2012,78,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,2. Финансовая деятельность,217. Министерство финансов Республики Казахстан,8. Проведение мониторинга бюджетных инвестиционных проектов,2012,50,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,2. Финансовая деятельность,217. Министерство финансов Республики Казахстан,9. Услуги кинологического центра,2012,115,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,2. Финансовая деятельность,217. Министерство финансов Республики Казахстан,14. Модернизация таможенной службы,2012,907,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,2. Финансовая деятельность,217. Министерство финансов Республики Казахстан,"16. Приватизация, управление государственным имуществом, постприватизационная деятельность и регулирование споров, связанных с этим",2012,427,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,2. Финансовая деятельность,217. Министерство финансов Республики Казахстан,19. Выплата курсовой разницы по льготным жилищным кредитам,2012,18,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,2. Финансовая деятельность,217. Министерство финансов Республики Казахстан,21. Капитальные расходы Министерства финансов Республики Казахстан,2012,1467,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,2. Финансовая деятельность,217. Министерство финансов Республики Казахстан,23. Проведение таможенной экспертизы,2012,24,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,2. Финансовая деятельность,217. Министерство финансов Республики Казахстан,25. Услуги учебно-методического центра,2012,88,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,2. Финансовая деятельность,217. Министерство финансов Республики Казахстан,26. Строительство объектов таможенного контроля и таможенной инфраструктуры,2012,2354,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,2. Финансовая деятельность,217. Министерство финансов Республики Казахстан,27. Проведение мониторинга собственности и использование его результатов,2012,284,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,2. Финансовая деятельность,217. Министерство финансов Республики Казахстан,31. Создание информационной системы «ТАИС» и «Электронная таможня»,2012,735,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,2. Финансовая деятельность,217. Министерство финансов Республики Казахстан,33. Модернизация автоматизированной интегрированной информационной системы «Электронные государственные закупки»,2012,78,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,2. Финансовая деятельность,217. Министерство финансов Республики Казахстан,"36. Модернизация информационных систем Налоговых органов, связанных с изменением налогового законодательства",2012,6959,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,2. Финансовая деятельность,217. Министерство финансов Республики Казахстан,40. Строительство центров приема и обработки информации налоговых органов,2012,4,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,2. Финансовая деятельность,217. Министерство финансов Республики Казахстан,61. Создание интегрированной автоматизированной информационной системы «е-Минфин»,2012,1454,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,2. Финансовая деятельность,217. Министерство финансов Республики Казахстан,70. Учет арендованного имущества комплекса «Байконур»,2012,22,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,2. Финансовая деятельность,217. Министерство финансов Республики Казахстан,72. Реформирование системы налогового администрирования,2012,198,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,2. Финансовая деятельность,217. Министерство финансов Республики Казахстан,73. Развитие Интегрированной информационной системы Казначейства и создание компонента «Казначейство-клиент»,2012,1573,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,2. Финансовая деятельность,217. Министерство финансов Республики Казахстан,101. Проведение мероприятий за счет средств на представительские затраты,2012,12,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,2. Финансовая деятельность,217. Министерство финансов Республики Казахстан,104. Борьба с наркоманией и наркобизнесом,2012,189,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,2. Финансовая деятельность,217. Министерство финансов Республики Казахстан,105. Разработка и экспертиза технико-экономических обоснований республиканских бюджетных инвестиционных проектов,2012,111,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,2. Финансовая деятельность,217. Министерство финансов Республики Казахстан,114. Выполнение обязательств центральных государственных органов по решениям судов за счет средств резерва Правительства Республики Казахстан,2012,40,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,2. Финансовая деятельность,406. Счетный комитет по контролю за исполнением республиканского бюджета,1. Услуги по обеспечению контроля за исполнением республиканского бюджета,2012,904,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,2. Финансовая деятельность,406. Счетный комитет по контролю за исполнением республиканского бюджета,5. Капитальные расходы Счетного комитета по контролю за исполнением республиканского бюджета,2012,40,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,2. Финансовая деятельность,406. Счетный комитет по контролю за исполнением республиканского бюджета,101. Проведение мероприятий за счет средств на представительские затраты,2012,2,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,2. Финансовая деятельность,619. Агентство Республики Казахстан по делам строительства и жилищно-коммунального хозяйства,34. Выплата премий по вкладам в жилищные,2012,4800,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,3. Внешнеполитическая деятельность,201. Министерство внутренних дел Республики Казахстан,2. Обеспечение политических интересов страны в области общественного порядка,2012,16,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,3. Внешнеполитическая деятельность,204. Министерство иностранных дел Республики Казахстан,1. Услуги по координации внешнеполитической деятельности,2012,5366,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,3. Внешнеполитическая деятельность,204. Министерство иностранных дел Республики Казахстан,3. Делимитация и демаркация государственной границы Республики Казахстан,2012,220,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,3. Внешнеполитическая деятельность,204. Министерство иностранных дел Республики Казахстан,4. Капитальные расходы Министерства иностранных дел Республики Казахстан,2012,1293,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,3. Внешнеполитическая деятельность,204. Министерство иностранных дел Республики Казахстан,5. Заграничные командировки,2012,2800,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,3. Внешнеполитическая деятельность,204. Министерство иностранных дел Республики Казахстан,"8. Обеспечение специальной, инженерно-технической и физической защиты дипломатических представительств за рубежом",2012,71,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,3. Внешнеполитическая деятельность,204. Министерство иностранных дел Республики Казахстан,9. Приобретение и строительство объектов недвижимости за рубежом для размещения дипломатических представительств Республики Казахстан,2012,2261,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,3. Внешнеполитическая деятельность,204. Министерство иностранных дел Республики Казахстан,10. Представление интересов Республики Казахстан за рубежом,2012,17532,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,3. Внешнеполитическая деятельность,204. Министерство иностранных дел Республики Казахстан,"13. Представление интересов Республики Казахстан в международных организациях, уставных и других органах Содружества Независимых Государств",2012,203,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,3. Внешнеполитическая деятельность,204. Министерство иностранных дел Республики Казахстан,"17. Участие Республики Казахстан в международных организациях, иных международных и прочих органах",2012,5948,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,3. Внешнеполитическая деятельность,204. Министерство иностранных дел Республики Казахстан,"18. Оплата за аренду офисных помещений для представительств международных организаций, аккредитованных в Республике Казахстан",2012,28,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,3. Внешнеполитическая деятельность,204. Министерство иностранных дел Республики Казахстан,101. Проведение мероприятий за счет средств на представительские затраты,2012,919,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,3. Внешнеполитическая деятельность,204. Министерство иностранных дел Республики Казахстан,109. Проведение мероприятий за счет резерва Правительства Республики Казахстан на неотложные затраты,2012,2275,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,3. Внешнеполитическая деятельность,204. Министерство иностранных дел Республики Казахстан,116. Трансферты другим уровням государственного управления на проведение мероприятий за счет резерва Правительства Республики Казахстан на неотложные затраты,2012,39,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,4. Фундаментальные научные исследования,202. Министерство по чрезвычайным ситуациям Республики Казахстан,131. Обеспечение базового финансирования субъектов научной и (или) научно-технической деятельности,2012,47,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,4. Фундаментальные научные исследования,212. Министерство сельского хозяйства Республики Казахстан,131. Обеспечение базового финансирования субъектов научной и (или) научно-технической деятельности,2012,981,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,4. Фундаментальные научные исследования,213. Министерство труда и социальной защиты населения Республики Казахстан,131. Обеспечение базового финансирования субъектов научной и (или) научно-технической деятельности,2012,45,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,4. Фундаментальные научные исследования,215. Министерство транспорта и коммуникаций Республики Казахстан,131. Обеспечение базового финансирования субъектов научной и (или) научно-технической деятельности,2012,97,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,4. Фундаментальные научные исследования,225. Министерство образования и науки Республики Казахстан,14. Государственные премии и стипендии,2012,85,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,4. Фундаментальные научные исследования,225. Министерство образования и науки Республики Казахстан,15. Капитальные расходы государственных организаций в сфере обеспечения науки,2012,651,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,4. Фундаментальные научные исследования,225. Министерство образования и науки Республики Казахстан,55. Научная и (или) научно-техническая деятельность,2012,28146,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,4. Фундаментальные научные исследования,225. Министерство образования и науки Республики Казахстан,131. Обеспечение базового финансирования субъектов научной и (или) научно-технической деятельности,2012,4982,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,4. Фундаментальные научные исследования,226. Министерство здравоохранения Республики Казахстан,131. Обеспечение базового финансирования субъектов научной и (или) научно-технической деятельности,2012,707,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,4. Фундаментальные научные исследования,233. Министерство индустрии и новых технологий Республики Казахстан,131. Обеспечение базового финансирования субъектов научной и (или) научно-технической деятельности,2012,563,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,4. Фундаментальные научные исследования,234. Министерство охраны окружающей среды Республики Казахстан,131. Обеспечение базового финансирования субъектов научной и (или) научно-технической деятельности,2012,46,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,4. Фундаментальные научные исследования,235. Министерство культуры и информации Республики Казахстан,131. Обеспечение базового финансирования субъектов научной и (или) научно-технической деятельности,2012,21,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,4. Фундаментальные научные исследования,601. Национальное космическое агентство Республики Казахстан,131. Обеспечение базового финансирования субъектов научной и (или) научно-технической деятельности,2012,277,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,4. Фундаментальные научные исследования,697. Агентство Республики Казахстан по атомной энергии,131. Обеспечение базового финансирования субъектов научной и (или) научно-технической,2012,1256,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,5. Планирование и статистическая деятельность,220. Министерство экономического развития и торговли Республики Казахстан,"1. Услуги по формированию и развитию экономической и торговой политики, системы государственного планирования и управления",2012,3614,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,5. Планирование и статистическая деятельность,220. Министерство экономического развития и торговли Республики Казахстан,5. Услуги по совершенствованию мобилизационной подготовки и мобилизации,2012,48,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,5. Планирование и статистическая деятельность,220. Министерство экономического развития и торговли Республики Казахстан,6. Экспертиза и оценка документации по вопросам бюджетных инвестиций и концессии,2012,303,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,5. Планирование и статистическая деятельность,220. Министерство экономического развития и торговли Республики Казахстан,10. Взаимодействие с международными рейтинговыми агентствами по вопросам пересмотра суверенного кредитного рейтинга Республики Казахстан,2012,30,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,5. Планирование и статистическая деятельность,220. Министерство экономического развития и торговли Республики Казахстан,"11. Обеспечение реализации исследований проектов, осуществляемых совместно с международными организациями",2012,1282,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,5. Планирование и статистическая деятельность,220. Министерство экономического развития и торговли Республики Казахстан,12. Повышение конкурентоспособности регионов и совершенствование государственного управления,2012,532,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,5. Планирование и статистическая деятельность,220. Министерство экономического развития и торговли Республики Казахстан,29. Услуги по реализации торговой политики Услуги по обеспечению проведения,2012,374,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,5. Планирование и статистическая деятельность,220. Министерство экономического развития и торговли Республики Казахстан,33. Астанинского экономического форума,2012,371,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,5. Планирование и статистическая деятельность,220. Министерство экономического развития и торговли Республики Казахстан,44. Капитальные расходы Министерства экономического развития и торговли Республики Казахстан,2012,15,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,5. Планирование и статистическая деятельность,220. Министерство экономического развития и торговли Республики Казахстан,101. Проведение мероприятий за счет средств на представительские затраты,2012,44,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,5. Планирование и статистическая деятельность,406. Счетный комитет по контролю за исполнением республиканского бюджета,3. Повышение квалификации и переподготовки кадров органов финансового контроля,2012,112,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,5. Планирование и статистическая деятельность,606. Агентство Республики Казахстан по статистике,1. Услуги по регулированию в области статистической деятельности и межотраслевой координации государственной статистики,2012,5301,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,5. Планирование и статистическая деятельность,606. Агентство Республики Казахстан по статистике,2. Услуги по сбору и обработке статистических данных,2012,1260,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,5. Планирование и статистическая деятельность,606. Агентство Республики Казахстан по статистике,4. Прикладные научные исследования в области государственной статистики,2012,1,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,5. Планирование и статистическая деятельность,606. Агентство Республики Казахстан по статистике,6. Проведение национальной переписи,2012,1,
2. ЗАТРАТЫ,1. Государственные услуги общего характера,5. Планирование и статистическая деятельность,606. Агентство Республики Казахстан по статистике,7. Капитальные расходы Агентства Республики Казахстан по статистике,2012,637,
